                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.62292,                0.48887,                0.67904,                0.85967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00066333,             0.00066333,             0.00066333
                    104,                0.65784,                0.50307,                0.68766,                0.86495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00066,                0.00066,                0.00066
                    105,                0.64947,                0.51215,                0.87645,                0.93147,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00065667,             0.00065667,             0.00065667
                    106,                0.54409,                 0.3904,                0.65884,                0.87211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00065333,             0.00065333,             0.00065333
                    107,                0.71187,                0.46936,                 0.7518,                0.87865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00065,                0.00065,                0.00065
                    108,                0.58508,                0.41807,                0.75405,                0.93384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00064667,             0.00064667,             0.00064667
                    109,                0.55378,                0.34501,                0.66697,                0.88003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00064333,             0.00064333,             0.00064333
                    110,                0.55797,                0.44127,                0.67236,                0.86173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00064,                0.00064,                0.00064
                    111,                0.53376,                0.33416,                0.65689,                0.91243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00063667,             0.00063667,             0.00063667
                    112,                0.53796,                 0.4072,                0.67065,                0.86132,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00063333,             0.00063333,             0.00063333
                    113,                0.69751,                0.53078,                0.70716,                0.88692,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00063,                0.00063,                0.00063
                    114,                0.56859,                0.46046,                0.68516,                0.86666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00062667,             0.00062667,             0.00062667
                    115,                0.66049,                 0.4302,                 1.0705,                0.99497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00062333,             0.00062333,             0.00062333
                    116,                0.56498,                0.47651,                 0.6653,                0.87875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00062,                0.00062,                0.00062
                    117,                0.54648,                0.41996,                0.83502,                0.95118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00061667,             0.00061667,             0.00061667
                    118,                0.58219,                0.41621,                0.83505,                0.97831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00061333,             0.00061333,             0.00061333
                    119,                0.50398,                0.36029,                0.68152,                0.89454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00061,                0.00061,                0.00061
                    120,                0.51696,                0.39499,                0.66072,                0.90669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00060667,             0.00060667,             0.00060667
                    121,                0.55023,                0.35604,                0.64087,                0.85329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00060333,             0.00060333,             0.00060333
                    122,                0.57966,                0.57465,                0.67965,                 0.8439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                 0.0006,                 0.0006,                 0.0006
                    123,                0.59661,                0.50989,                0.65904,                0.85831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00059667,             0.00059667,             0.00059667
                    124,                0.56834,                0.59656,                0.70735,                0.84278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00059333,             0.00059333,             0.00059333
                    125,                0.51657,                0.42867,                0.63061,                 0.8586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00059,                0.00059,                0.00059
                    126,                0.50354,                0.62917,                0.64887,                0.87312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00058667,             0.00058667,             0.00058667
